Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
0	4000	160	25	192.5	4.5	0	-1
1	1751	159.18182	11	334	2.5	1	-1
2	1907	158.91667	12	376	4.5	2	-1
3	2822	201.57143	14	377	13	2	-1
4	1857	154.75	12	2011.5	16	7	-1
5	1707	155.18182	11	2020	38	7	-1
6	3455	181.8421	19	578.5	47	8	-1
7	2855	178.4375	16	37.5	59	11	-1
8	6130	197.74193	31	19	63.5	11	-1
9	13742	190.86111	72	30.5	68	11	-1
10	11643	204.26315	57	8.5	81.5	11	-1
11	3537	208.05882	17	39.5	101.5	11	-1
12	1855	185.5	10	44.5	110	11	-1
13	1743	174.3	10	426	41	12	-1
14	6860	155.90909	44	418.5	49.5	12	-1
15	7478	155.79167	48	1844.5	45.5	13	-1
16	2442	152.625	16	1839	58.5	13	-1
17	4520	155.86208	29	1830	66	13	-1
18	16807	236.71831	71	242	71	15	-1
19	41220	305.33334	135	250.5	82.5	15	-1
20	35470	412.44186	86	222.5	91	15	-1
21	2981	212.92857	14	238	106	15	-1
22	1642	164.2	10	1529	99.5	17	-1
23	5254	169.48387	31	303	122	24	-1
24	2841	157.83333	18	1711	116	25	-1
25	12505	173.68056	72	1726	121	25	-1
26	15250.999	160.53683	95	1718.5	128	25	-1
27	3946	164.41667	24	1694	140.5	25	-1
28	20985	166.54762	126	602.5	135.5	26	-1
29	109158	682.23749	160	828.5	161	30	-1
30	2670	166.875	16	830.5	182	30	-1
31	1942	176.54546	11	851.5	190	30	-1
32	8039.0005	277.20691	29	361.5	159	32	-1
33	11265	341.36365	33	736.5	213	36	-1
34	56325	552.20587	102	715.5	231	36	-1
35	2942	154.8421	19	34.5	258.5	43	-1
36	2331	155.39999	15	14	264.5	43	-1
37	8566	158.62962	54	112	280	44	-1
38	1902	158.5	12	117	310	44	-1
39	8601	318.55554	27	818.5	290.5	47	-1
40	10092	174	58	810	305	47	-1
41	32436	277.23077	117	828	305	47	-1
42	12380	193.4375	64	806	313	47	-1
43	6107	179.61765	34	820	318	47	-1
44	3936	231.52942	17	827.5	333	47	-1
45	39063	438.91013	89	678	332.5	51	-1
