Object ID	Elongation Factor 	Circularity 	Mean Intensity DAPI	Total Intensity DAPI	Total Intensity telo 550	Mean Intensity telo 550	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	telo550_spots  Counts 	53bp1_spots  Counts 	Well 	Center X 	Center Y 	Area 	total_intensity_telo 	total_intensity_bp1 	mean-550-withoutspots 	total_area_telo 	area_dif_telo 	int_dif_telo 	mean-53bp1-withoutspots 	int_dif_telo 	area_dif_telo 	Parent Object ID (Well)	Parent Trace ID
0	2.0286104	0.89840551	220.60573	161704	21048	28.71487	62754	85.612549	0	1	6	196	13	733	0	4000	28.71487	0	733	21048	82.985876	62754	708	5	-1
1	1.5920051	0.95489305	276.04355	430903.97	57835	37.049969	219193	140.41832	0	1	6	323.5	23	1561	0	1751	37.049968	0	1561	57835	140.28516	219193	1550	5	-1
2	1.7616279	0.90538259	390.70001	398514	52014	50.994118	67862	66.531372	2	2	6	384.5	16.5	1020	16481	4729	39.004391	109	911	35533	63.514085	51381	994	5	-1
3	3.1231527	0.83987044	139.80597	28101	8959	44.57214	12356	61.472637	1	0	6	734.5	5.5	201	4224	0	27.369942	28	173	4735	61.472637	8132	201	5	-1
4	4.0730519	0.7584119	256.61237	157560	13740	22.37785	32661	53.19381	1	0	6	937	8.5	614	990	0	21.285476	15	599	12750	53.193811	31671	614	5	-1
5	1.926745	0.93443807	285.39264	410680	77710	54.002781	84437	58.677555	2	0	6	1668	17.5	1439	23981	0	40.519608	113	1326	53729	58.677554	60456	1439	5	-1
6	3.2742176	0.82316903	200.27457	266966	41371	31.036009	136435	102.35184	1	0	6	1791.5	13	1333	11382	0	23.687994	67	1266	29989	102.35184	125053	1333	5	-1
7	1.4138413	0.98536686	216.10565	615685	86627	30.406107	270474	94.93647	2	2	6	2005.5	29.5	2849	22368	3564	23.905878	161	2688	64259	94.447983	248106	2826	5	-1
8	1.6749887	0.96877637	300.46814	655321	47999	22.007795	276710	126.87299	0	1	6	578	32	2181	0	3455	22.007795	0	2181	47999	126.38992	276710	2162	5	-1
9	1.7875272	0.95928693	396.17789	541179	68861	50.410686	164159	120.17496	0	0	6	767.5	40.5	1366	0	0	50.410688	0	1366	68861	120.17496	164159	1366	5	-1
10	1.8316832	0.94514746	61.831684	6245	1289	12.762376	3183	31.514851	0	0	6	40.5	31.5	101	0	0	12.762376	0	101	1289	31.514851	3183	101	5	-1
11	1.8993409	0.80388798	420.79349	3292709	200006	25.559872	830000	106.07029	4	6	6	47	79.5	7825	21291	39762	23.438033	200	7625	178715	103.67856	808709	7622	5	-1
12	2.0577922	0.90210933	333.95441	497926.03	55325	37.105968	129698	86.987259	2	2	6	420.5	55.5	1491	10297	8603	32.071225	87	1404	45028	84.269311	119401	1437	5	-1
13	1.9345835	0.96636217	212.45682	484614	63432	27.808855	195917	85.890839	1	3	6	1839	61.5	2281	5199	14440	25.927427	35	2246	58233	82.941956	190718	2188	5	-1
14	1.7907801	0.97243031	478.94135	1078097	68135	30.26877	416335	184.95558	0	0	6	1016	79.5	2251	0	0	30.268769	0	2251	68135	184.95558	416335	2251	5	-1
15	2.046374	0.94504596	276.48462	556840	56816	28.210526	232701	115.54171	3	4	6	239.5	89.5	2014	8529	96478	24.800719	67	1947	48287	79.755855	224172	1708	5	-1
16	1.9079179	0.96296431	281.55966	478933	52499	30.863609	101153	59.466785	1	0	6	1936.5	91.5	1701	9026	0	26.507927	61	1640	43473	59.466784	92127	1701	5	-1
17	1.7292645	0.97312447	408.20685	1038070	106288	41.796303	333039.03	130.96304	6	1	6	1506.5	106.5	2543	36793	1642	29.967658	224	2319	69495	130.83183	296246.03	2533	5	-1
18	1.7537023	0.94429244	260.2038	329418	39117	30.898104	91378	72.178513	2	0	6	373.5	102.5	1266	12100	0	22.291254	54	1212	27017	72.178515	79278	1266	5	-1
19	1.8037518	0.93453477	256.46948	176451	45752	66.5	49610	72.107559	1	0	6	407	101.5	688	29711.998	0	27.140443	97	591	16040.002	72.107558	19898.002	688	5	-1
20	1.8188935	0.9465923	334.3468	637265	87783	46.056137	255854	134.2361	1	0	6	487	116	1906	1032	0	45.827258	13	1893	86751	134.2361	254822	1906	5	-1
21	2.2451145	0.93100568	266.75226	473752	118136.01	66.518021	124864	70.306305	1	0	6	1990	113.5	1776	2907	0	66.18553	35	1741	115229.01	70.306306	121957	1776	5	-1
22	1.8011504	0.94996549	470.14465	562293	49554.996	41.433945	124731	104.29013	0	0	6	716.5	115	1196	0	0	41.433943	0	1196	49554.996	104.29013	124731	1196	5	-1
23	1.7948835	0.97765653	499.11606	1088073	68487	31.416056	380557	174.56743	2	0	6	1204	125	2180	9060	0	28.177809	71	2109	59427	174.56743	371497	2180	5	-1
24	1.5625	0.97648816	345.58493	490385.03	33153	23.363636	103744	73.110641	1	1	6	304.5	123.5	1419	1343	5254	22.640569	14	1405	31810	70.958213	102401	1388	5	-1
25	1.6249514	0.97984353	265.18442	677281	57788	22.626469	236482	92.592796	1	4	6	1711	133.5	2554	1259	34542.999	22.27305	16	2538	56529	86.114713	235223	2345	5	-1
26	1.8300268	0.97882644	297.6568	553344	66676	35.866596	169738	91.306076	0	1	6	610	134.5	1859	0	20985	35.866595	0	1859	66676	85.835545	169738	1733	5	-1
