Object ID	Total Intensity telo 550	Mean Intensity telo 550	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
0	11504	126.41758	91	371	19	2	-1
1	4977	276.5	18	393	27.5	2	-1
2	4224	150.85715	28	725.5	3	3	-1
3	990	66	15	934.5	5.5	4	-1
4	3680.9998	160.04347	23	1645.5	9.5	5	-1
5	20300	225.55556	90	1671	11.5	5	-1
6	11382	169.8806	67	1818	3.5	6	-1
7	13925	156.46068	89	2020.5	42	7	-1
8	8443	117.26389	72	2009	47.5	7	-1
9	8482	86.551018	98	85	71	11	-1
10	4096	71.85965	57	18.5	112.5	11	-1
11	1136	59.789474	19	26.5	117	11	-1
12	7576.9995	291.42307	26	24.5	128	11	-1
13	871	79.181816	11	424	32	12	-1
14	9426	124.02631	76	434.5	57	12	-1
15	5199	148.54286	35	1831.5	88	13	-1
16	4232	151.14285	28	263.5	73	15	-1
17	2318	110.38095	21	256.5	83.5	15	-1
18	1979	109.94444	18	217.5	91.5	15	-1
19	9026	147.96721	61	1937.5	74.5	16	-1
20	1255	96.53846	13	1500	82	17	-1
21	5235	145.41667	36	1500	90	17	-1
22	14064	238.37288	59	1508.5	93.5	17	-1
23	3268	116.71429	28	1502	108.5	17	-1
24	11146	163.91176	68	1525.5	115	17	-1
25	1825	91.25	20	1535.5	116	17	-1
26	11248	255.63637	44	392	98	18	-1
27	852	85.199997	10	392.5	115.5	18	-1
28	29711.998	306.30927	97	398.5	98.5	19	-1
29	1032	79.384613	13	499	108.5	20	-1
30	2907	83.057144	35	1991	101	21	-1
31	4351	131.84848	33	1224	121	23	-1
32	4709	123.92105	38	1222	135	23	-1
33	1343	95.928574	14	302	115.5	24	-1
34	1259	78.6875	16	1694	124	25	-1
35	10287	116.89773	88	678.5	129	27	-1
36	3876	104.75676	37	667	150	27	-1
37	986	75.846153	13	1869	151.5	28	-1
38	19556	227.39536	86	816.5	160	30	-1
39	1268	66.736839	19	828.5	194.5	30	-1
40	1453	111.76923	13	145	170	31	-1
41	1234	94.92308	13	151	189.5	31	-1
42	1040	104	10	350.5	203	32	-1
43	1310	81.875	16	1009	188	34	-1
44	1658.0001	75.36364	22	1003.5	193	34	-1
45	1729	66.5	26	211.5	232	35	-1
46	1526	72.666664	21	1627.5	210.5	37	-1
47	14309	242.52542	59	1780.5	226.5	39	-1
48	3941	115.91177	34	1150	243	40	-1
49	14938	233.40625	64	1141	263	40	-1
50	9811	192.37254	51	1968	249	41	-1
51	7012	166.95238	42	1949	259.5	41	-1
52	23783	240.23233	99	1429	247	42	-1
53	966	87.818184	11	1449.5	249	42	-1
54	771	77.099998	10	32	278	43	-1
55	10295	177.5	58	26.5	284	43	-1
56	6739	92.315071	73	125	312	44	-1
57	1589	88.277779	18	1683.5	307.5	45	-1
58	8741	115.01316	76	1101	285.5	46	-1
59	8100	112.5	72	1073	292	46	-1
60	3572	94	38	1070.5	307.5	46	-1
61	6183	114.5	54	824.5	312.5	47	-1
62	1018	72.714287	14	817	312	47	-1
63	2146	79.481483	27	813	335	47	-1
64	16079	226.46478	71	1585.5	316.5	48	-1
65	1743	102.52941	17	1618.5	317.5	48	-1
66	4398	125.65714	35	1882.5	331	50	-1
67	10356	272.52631	38	708	372.5	51	-1
68	671	61	11	1781	334	53	-1
69	6352	127.04	50	1805	341	53	-1
70	984	89.454544	11	1776	371.5	53	-1
71	5207	88.254234	59	60.5	360.5	55	-1
72	11555	206.33928	56	1563	369	57	-1
73	6923	168.85365	41	1571	378.5	57	-1
74	1173	97.75	12	1578	396	57	-1
75	6428	128.56	50	1000.5	409.5	58	-1
76	5513	196.89285	28	979	412	58	-1
77	1919	106.61111	18	1662.5	410.5	59	-1
78	23762	325.50684	73	1917	450	62	-1
79	2963	134.68182	22	1796	445.5	63	-1
80	875	79.545456	11	1805.5	450.5	63	-1
81	8334	185.2	45	1813.5	454	63	-1
82	877	67.46154	13	2036	441	64	-1
83	3365.9998	96.171425	35	596	438	65	-1
84	8799	93.606384	94	316.5	477.5	66	-1
85	3234	73.5	44	556.5	467.5	67	-1
86	730	73	10	1805	479	68	-1
87	17538	427.7561	41	1817.5	488	68	-1
88	697	69.699997	10	1696.5	488.5	69	-1
89	4996	94.264153	53	225	479.5	72	-1
90	6606	94.371429	70	208.5	511.5	72	-1
91	17946	213.64285	84	1559	479	73	-1
92	2061	128.8125	16	1567.5	499.5	73	-1
93	960	73.846153	13	469.5	509.5	74	-1
94	1365	65	21	875.5	527	76	-1
95	1920	68.571426	28	861.5	531	76	-1
96	6300	131.25	48	1141.5	513.5	77	-1
97	1073	67.0625	16	1119.5	520	77	-1
98	2725	68.125	40	2041	527	78	-1
99	1606	89.222221	18	742.5	528.5	79	-1
100	15214	249.40984	61	733	545	79	-1
101	5976	117.17647	51	1019	542.5	80	-1
102	1204	80.26667	15	1204	534.5	81	-1
103	7794	177.13637	44	1774	539.5	83	-1
104	32951	383.15115	86	1760.5	547.5	83	-1
105	2417	92.96154	26	1869	544.5	84	-1
106	2794	107.46154	26	1886.5	555.5	84	-1
107	3022	100.73333	30	592.5	537	85	-1
108	1142	103.81818	11	733.5	551	86	-1
109	6860	152.44444	45	725	557.5	86	-1
110	1523	126.91666	12	754.5	581	86	-1
111	970	74.615387	13	1755.5	587	88	-1
112	922	76.833336	12	1578	588	89	-1
113	1817	113.5625	16	1568	591.5	89	-1
114	33738	362.7742	93	1545.5	596	89	-1
115	1490	124.16666	12	1545.5	617.5	89	-1
116	1165	97.083336	12	1569	623	89	-1
117	5955	156.71053	38	940	615	90	-1
118	9764	147.93939	66	814.5	599	91	-1
119	8078	183.59091	44	1974	600	92	-1
120	19041	241.02531	79	1290.5	602	93	-1
121	20197	292.71014	69	1258	632.5	93	-1
122	1879	78.291664	24	392.5	604	94	-1
123	1337	60.772728	22	400	606	94	-1
124	3047	112.85185	27	1057	612.5	95	-1
125	10111	140.43056	72	1065.5	623	95	-1
126	23132	262.86365	88	1084	633	95	-1
127	5691	93.295082	61	152.5	625	96	-1
128	802	61.692307	13	177.5	624	96	-1
129	24794	326.23685	76	1872	635	99	-1
130	992	82.666664	12	1873	648	99	-1
131	2184	114.94736	19	1679	631	100	-1
132	26514	327.33334	81	1656	654	100	-1
133	9300	238.46153	39	1444.5	653	102	-1
134	1098	61	18	967.5	645.5	105	-1
135	647	64.699997	10	934	720	109	-1
136	5291	220.45833	24	508	727	110	-1
137	14766	220.38806	67	1289	697	111	-1
138	1221	67.833336	18	1153	716.5	113	-1
139	2406	126.63158	19	1174.5	717.5	113	-1
140	4159	90.41304	46	1147.5	735	113	-1
141	873	87.300003	10	1495	696.5	114	-1
142	2115	162.69231	13	1502	707.5	114	-1
143	12086	145.61446	83	1879	696.5	115	-1
144	23722	304.1282	78	1873	717.5	115	-1
145	1514	79.684212	19	1073.5	699	116	-1
146	1439	95.933334	15	1662	710	117	-1
147	4755	88.055557	54	96	737.5	118	-1
148	9615	126.51316	76	81	743.5	118	-1
149	1641	91.166664	18	824.5	720.5	119	-1
150	4898	89.054543	55	706	733	121	-1
151	3773.9998	89.85714	42	683	740	121	-1
152	9093	168.38889	54	703.5	757.5	121	-1
153	4747	105.48889	45	695.5	766	121	-1
154	1231	94.692307	13	1731.5	761	123	-1
155	18544	394.55319	47	558.5	782	125	-1
156	732	66.545456	11	1811	759	126	-1
157	1186	107.81818	11	1814.5	804	126	-1
158	832	69.333336	12	1458.5	772	127	-1
159	9688	206.12766	47	1059	790	128	-1
160	762	76.199997	10	1542	766	129	-1
161	2489	108.21739	23	1540	774	129	-1
162	20405	231.875	88	1554	792.5	129	-1
163	906	90.599998	10	1567	795	129	-1
164	2404	100.16666	24	1562	804	129	-1
165	3800	180.95238	21	1559	817	129	-1
166	1823	107.23529	17	297	782.5	131	-1
167	1010	77.692307	13	1492.5	793	132	-1
168	1997	117.47059	17	1513.5	825.5	132	-1
169	3378	140.75	24	1477.5	828	132	-1
170	18321	229.0125	80	1199.5	818	133	-1
171	11136.001	161.39131	69	116	796	134	-1
172	2076	138.39999	15	162.5	815.5	134	-1
173	5900	190.32259	31	158.5	832	134	-1
174	1347	67.349998	20	854.5	815	135	-1
175	13657	150.07692	91	832.5	825	135	-1
176	12371	147.2738	84	470	842.5	136	-1
177	8346	166.92	50	921	813.5	137	-1
178	23461	434.46295	54	1863	852.5	140	-1
179	1235	72.647057	17	733.5	830	142	-1
180	1996	62.375	32	754	850	142	-1
181	570	57	10	768.5	862	142	-1
182	5278	135.33333	39	1057	835	144	-1
183	1518	75.900002	20	1049.5	840.5	144	-1
184	1669	104.3125	16	1653	861.5	145	-1
185	5097	98.019234	52	1349.5	870	146	-1
186	1343	67.150002	20	328	868	149	-1
187	929	54.64706	17	365	886.5	149	-1
188	2251	80.39286	28	1088	862.5	150	-1
189	1374	137.39999	10	1106	879	150	-1
190	1669	111.26667	15	1097.5	887.5	150	-1
191	10474	261.85001	40	1768.5	905	151	-1
192	2796	121.56522	23	918	883.5	152	-1
193	2198	95.565216	23	919.5	903.5	152	-1
194	926	92.599998	10	707	918	158	-1
195	870.00006	66.92308	13	1430	922	159	-1
196	4995	151.36363	33	1427.5	930	159	-1
197	1314	101.07692	13	1434	939.5	159	-1
198	1057	88.083336	12	1439.5	950.5	159	-1
199	10560	220	48	1117	922.5	160	-1
200	8608	215.2	40	1881.5	921	161	-1
201	22425	280.3125	80	1882	938.5	161	-1
202	28943	336.54651	86	1861.5	942.5	161	-1
203	1052	87.666664	12	1843	944	161	-1
204	1051	87.583336	12	594	973	162	-1
205	6035	118.33334	51	971	933	163	-1
206	1257	89.785713	14	1189	960	164	-1
207	6862	343.10001	20	1578	935.5	166	-1
208	8160	173.61702	47	1606.5	961	166	-1
209	3666	101.83334	36	1534.5	964.5	169	-1
210	4888	85.754387	57	101.5	960	171	-1
211	6088	90.865669	67	74.5	973.5	171	-1
212	2123	92.304344	23	2013	981	172	-1
213	767	69.727272	11	1486.5	971.5	173	-1
214	3238	89.944443	36	1947.5	986.5	175	-1
215	11646	145.575	80	1917	1004.5	175	-1
216	1680	93.333336	18	900	978.5	176	-1
217	9997	135.09459	74	285	1017.5	177	-1
218	3441.0002	132.34616	26	1123	987.5	178	-1
219	1172	73.25	16	1125.5	1013.5	178	-1
220	6652.0005	141.53192	47	1733.5	986.5	179	-1
221	679	67.900002	10	1754	996	179	-1
222	23588.002	274.27908	86	1765	1031.5	179	-1
223	1227	61.349998	20	706	1017	181	-1
224	3335	151.59091	22	1590	1046.5	183	-1
225	5342	133.55	40	44	1002	184	-1
226	11995	190.39682	63	58.5	1026	184	-1
227	5618	147.8421	38	950	1044	185	-1
228	46133	470.7449	98	1664	1023	187	-1
229	858	71.5	12	1676	1045	187	-1
230	603	60.299999	10	804	1066.5	189	-1
231	9418	174.40741	54	815	1070.5	189	-1
232	5145	155.90909	33	237	1080	190	-1
233	2654	115.3913	23	245	1079.5	190	-1
234	2730	94.137932	29	1014.5	1074	191	-1
235	13029	255.47058	51	1553	1064.5	192	-1
236	5649	188.3	30	1548.5	1074	192	-1
237	7322.0005	143.56863	51	1558.5	1091.5	192	-1
238	13247	294.37778	45	1547	1095.5	192	-1
239	7911	123.60938	64	1564.5	1103	192	-1
240	3965.0002	88.111115	45	631.5	1060.5	194	-1
241	1895	105.27778	18	611.5	1070	194	-1
242	4630	165.35715	28	643	1078.5	194	-1
243	7063	123.91228	57	645	1088	194	-1
244	3589.9998	97.027023	37	1018.5	1074.5	195	-1
245	2649	77.911766	34	404	1100	196	-1
246	1759	79.954544	22	2044.5	1085	197	-1
247	7470	124.5	60	76	1074	198	-1
248	6658	105.68254	63	132.5	1113.5	199	-1
249	6675	215.32259	31	1369.5	1092.5	200	-1
250	18722	346.7037	54	674	1097	201	-1
251	2909.9998	67.674416	43	669.5	1117	201	-1
252	4404	107.41463	41	535	1124.5	202	-1
253	1965	98.25	20	1140.5	1124	204	-1
254	3195	213	15	1147.5	1152	204	-1
255	8826	142.35484	62	722.5	1130	205	-1
256	13417	248.46297	54	1408.5	1110.5	206	-1
257	664	66.400002	10	1402	1130	206	-1
258	2818	117.41666	24	1412.5	1134	206	-1
259	706	58.833332	12	1960	1127.5	208	-1
260	3066	85.166664	36	895.5	1142	209	-1
261	1875	104.16666	18	1733	1149.5	210	-1
262	27239	373.13699	73	1852	1157.5	211	-1
263	3333	77.511627	43	242.5	1185.5	213	-1
264	12562	169.75676	74	253.5	1192	213	-1
265	17549	269.98462	65	1407.5	1177	215	-1
266	651	65.099998	10	1396.5	1178	215	-1
267	1152	96	12	1439	1188	215	-1
268	3973	189.19048	21	1439.5	1197.5	215	-1
269	2686	122.09091	22	620	1185	216	-1
270	2468	102.83334	24	1315.5	1173	218	-1
271	1273	90.928574	14	1309	1175.5	218	-1
272	876	87.599998	10	1341.5	1197.5	218	-1
273	1357	67.849998	20	394.5	1162.5	219	-1
274	11608	223.23077	52	1091	1191	220	-1
275	1278	106.5	12	1651.5	1212.5	222	-1
276	13142	205.34375	64	1641	1227.5	222	-1
277	4572	114.3	40	501.5	1185	223	-1
278	16507	168.43878	98	490.5	1192	223	-1
279	10578	440.75	24	1346.5	1199.5	224	-1
280	24964	341.9726	73	1829	1224.5	225	-1
281	1267	79.1875	16	1855.5	1232.5	225	-1
282	8344	100.53012	83	163.5	1226.5	226	-1
283	1175	78.333336	15	1395	1223.5	227	-1
284	3458	164.66667	21	1198.5	1245	228	-1
285	8061	138.98276	58	1989.5	1274.5	235	-1
286	679	61.727272	11	922	1245	236	-1
287	969	69.214287	14	939.5	1276.5	236	-1
288	9042	188.375	48	1081	1264	238	-1
289	9180	137.01492	67	1090.5	1283	238	-1
290	1223	64.368423	19	569.5	1293.5	239	-1
291	1328	73.777779	18	663.5	1298.5	241	-1
292	8273	236.37143	35	653.5	1323.5	241	-1
293	7125	142.5	50	659.5	1348.5	241	-1
294	24896.998	282.92044	88	1543.5	1302.5	246	-1
295	8155	173.51064	47	1531.5	1326	246	-1
296	2544	72.685715	35	84	1337	249	-1
297	3722.9998	132.96428	28	1147	1340.5	250	-1
298	8341	231.69444	36	1167.5	1358.5	250	-1
299	8482	136.80646	62	3.5	1348.5	251	-1
300	7960	241.21213	33	874	1369	252	-1
301	7637	133.98245	57	195	1354.5	255	-1
302	9664	107.37778	90	216.5	1377.5	255	-1
303	966	87.818184	11	213	1394.5	255	-1
304	1934	92.095238	21	1390	1364	256	-1
305	2324	77.466667	30	1378	1372.5	256	-1
306	22239	241.72826	92	564	1364.5	257	-1
307	14483	178.80247	81	559	1390	257	-1
308	7252	185.94872	39	1607.5	1392.5	258	-1
309	826	75.090912	11	1859	1372.5	259	-1
310	1597	88.722221	18	1825.5	1387	259	-1
311	5781	111.17308	52	1839	1388.5	259	-1
312	787	78.699997	10	1866.5	1392	259	-1
313	10664	205.07692	52	1827.5	1400	259	-1
314	2599	108.29166	24	1994	1390	260	-1
315	1714	85.699997	20	1972	1399.5	260	-1
316	1756	76.347824	23	831.5	1412.5	261	-1
317	1205	70.882355	17	640	1402.5	264	-1
318	10649	122.4023	87	386.5	1433	265	-1
319	3194	122.84615	26	1370	1459	267	-1
320	3164	197.75	16	1382	1458.5	267	-1
321	1313	65.650002	20	1922.5	1436	268	-1
322	3003	93.84375	32	1922.5	1445	268	-1
323	17062	198.39536	86	1940.5	1448.5	268	-1
324	795	72.272728	11	2046.5	1469.5	269	-1
325	2510	78.4375	32	1146	1468.5	270	-1
326	5336	197.62962	27	1145	1483	270	-1
327	3102	129.25	24	1161	1483	270	-1
328	7990	235	34	1138	1490	270	-1
329	803	66.916664	12	1125	1490	270	-1
330	1054	55.473682	19	278.5	1442	271	-1
331	2201	64.735291	34	306.5	1450.5	271	-1
332	18257	231.10127	79	305.5	1470	271	-1
333	11087	158.38571	70	1606	1455	272	-1
334	19719	243.44444	81	658	1486.5	273	-1
335	15199	167.02197	91	765	1460.5	274	-1
336	27882	480.72415	58	733.5	1460	274	-1
337	1183	78.866669	15	746.5	1471	274	-1
338	1308	68.842102	19	736.5	1478.5	274	-1
339	5455	83.92308	65	759.5	1482	274	-1
340	4135	72.543861	57	754.5	1496	274	-1
341	15008	214.39999	70	1900	1473	275	-1
342	33576	430.46155	78	1769.5	1466	276	-1
343	7117	88.962502	80	1747.5	1469	276	-1
344	10592	145.09589	73	1776.5	1495	276	-1
345	32022	432.72974	74	1099	1487.5	279	-1
346	18288	268.94116	68	1085.5	1495.5	279	-1
347	843	70.25	12	1073	1526	279	-1
348	16686	278.10001	60	1085	1534	279	-1
349	9568	191.36	50	1982	1504	281	-1
350	7432	142.92308	52	1235	1499.5	282	-1
351	2334	101.47826	23	1226.5	1514	282	-1
352	3698.0002	78.680855	47	136.5	1516.5	283	-1
353	26975	333.02469	81	165.5	1519	283	-1
354	900	64.285713	14	450	1519	284	-1
355	5623	193.89655	29	1414.5	1534	287	-1
356	15534	277.39285	56	1428.5	1552.5	287	-1
357	5841	153.71053	38	1389.5	1573.5	287	-1
358	1058	62.235294	17	10	1537.5	289	-1
359	6618	118.17857	56	1086.5	1598.5	292	-1
360	20270	253.375	80	1920.5	1584	293	-1
361	5607	295.10526	19	1172	1581	295	-1
362	10327	184.41072	56	1191	1587	295	-1
363	2347	69.029411	34	559	1604.5	297	-1
364	7845	112.07143	70	188	1616	299	-1
365	2140	71.333336	30	202.5	1624	299	-1
366	3637	121.23333	30	1439.5	1643	300	-1
367	775	77.5	10	1663.5	1650	302	-1
368	1312	119.27273	11	1674	1656	302	-1
369	8677	90.385414	96	263.5	1656.5	304	-1
370	2315	110.2381	21	356.5	1664	305	-1
371	8387	149.76785	56	540.5	1639.5	306	-1
372	2553	141.83333	18	465.5	1685.5	309	-1
373	5057	87.189651	58	696	1674	310	-1
374	9422	168.25	56	711.5	1691.5	310	-1
375	2642	91.103447	29	604.5	1673.5	312	-1
376	2024	106.52631	19	609	1711	312	-1
377	7242	83.241379	87	356	1696	313	-1
378	2997	74.925003	40	1790.5	1683.5	314	-1
379	6831	184.62163	37	1765	1708.5	314	-1
380	5170	156.66667	33	1897	1685	315	-1
381	8157	198.95122	41	1144.5	1715.5	316	-1
382	14509	166.77011	87	1685	1728	320	-1
383	1434	95.599998	15	1694.5	1741	320	-1
384	11928	205.65517	58	1840.5	1737.5	322	-1
385	9104	182.08	50	1825	1747	322	-1
386	2328	86.222221	27	651	1764	324	-1
387	1282	67.473686	19	643.5	1778	324	-1
388	11697.999	169.53622	69	671	1780	324	-1
389	1140	87.692307	13	577.5	1811	326	-1
390	7521	121.30645	62	1746	1781.5	327	-1
391	2876	70.146339	41	1782.5	1785	327	-1
392	3631	125.20689	29	356	1809	328	-1
393	6512	148	44	251.5	1820.5	332	-1
394	1237	95.153847	13	272.5	1820	332	-1
395	3649	130.32143	28	247	1835	332	-1
396	1635	102.1875	16	57	1841	335	-1
397	7183.9995	97.081078	74	78.5	1865.5	335	-1
398	11069	204.98148	54	1094	1842	336	-1
399	10973	195.94643	56	1114.5	1849	336	-1
400	1569	112.07143	14	1076	1852	336	-1
401	5950	119	50	1107	1866	336	-1
402	3564	93.789474	38	1087	1870.5	336	-1
403	4927	149.30302	33	1622.5	1860	337	-1
404	2837	105.07407	27	1732.5	1868.5	338	-1
405	13987.999	153.71428	91	1768.5	1873.5	338	-1
406	4326	103	42	1743.5	1875.5	338	-1
407	7019.0005	137.62746	51	1780.5	1883	338	-1
408	2541	101.64	25	1765	1885	338	-1
409	12439	182.92647	68	369.5	1884.5	339	-1
410	2821	141.05	20	61.5	1909	340	-1
411	6717	197.55882	34	466.5	1878.5	341	-1
412	4060	116	35	464.5	1910	341	-1
413	745	67.727272	11	1891	1894	342	-1
414	1564	74.476189	21	1898	1905.5	342	-1
415	9237	148.98387	62	1870	1914.5	342	-1
416	3270.0002	86.052635	38	1882.5	1929	342	-1
417	2332	137.17647	17	593.5	1885.5	343	-1
418	3718	88.523811	42	581.5	1897.5	343	-1
419	4494	104.51163	43	581.5	1915.5	343	-1
420	4175	231.94444	18	734	1908	345	-1
421	1538	139.81818	11	1504	1915	346	-1
422	7311	187.46153	39	1518.5	1933	346	-1
423	15296.999	299.94116	51	1504	1934.5	346	-1
424	12762	250.23529	51	1744.5	1942	349	-1
425	1470	122.5	12	161	1946.5	350	-1
426	18534	314.13559	59	48.5	1981.5	351	-1
427	1363	123.90909	11	571	2005.5	355	-1
428	5211.0005	140.83784	37	578.5	2041.5	355	-1
429	4409	89.979591	49	353	2024.5	356	-1
430	3157	121.42308	26	489.5	2046	357	-1
431	1531	66.565216	23	1333	2035	359	-1
432	1990.9999	71.10714	28	1325.5	2043.5	359	-1
433	1848	92.400002	20	398	34.5	362	-1
434	11444	220.07692	52	421	49.5	362	-1
435	811	67.583336	12	1268.5	16.5	363	-1
436	7604	161.78723	47	1275.5	20	363	-1
437	10437	171.09836	61	1260	22	363	-1
438	2723	118.3913	23	1255	33	363	-1
439	1210	67.222221	18	378.5	109	371	-1
440	3588	123.72414	29	1889	103.5	373	-1
441	10135	211.14583	48	1893	122.5	373	-1
442	1190	79.333336	15	1408.5	129	374	-1
443	5965	96.209679	62	1969.5	152.5	375	-1
444	22033.998	262.30951	84	1053	136	379	-1
445	8598	93.45652	92	19.5	140	380	-1
446	7836	145.11111	54	31.5	153.5	380	-1
447	4275	133.59375	32	207	131.5	381	-1
448	1741	124.35714	14	260	155	381	-1
449	1384	81.411766	17	1132	156	382	-1
450	1330	70	19	1132	163.5	382	-1
451	721	72.099998	10	1163	172	382	-1
452	959	59.9375	16	1164	178	382	-1
453	5264	94	56	251.5	177.5	385	-1
454	16873	222.01315	76	245	192.5	385	-1
455	4666	97.208336	48	259	195.5	385	-1
456	9572	222.60464	43	256	205	385	-1
457	1288	75.764709	17	286.5	208	385	-1
458	4844	130.91891	37	465	185.5	386	-1
459	10391	138.54666	75	442.5	201.5	386	-1
460	8734	194.08888	45	1106.5	195	389	-1
461	3072	133.56522	23	1115.5	209.5	389	-1
462	1899	105.5	18	411	214	390	-1
463	8957	203.56818	44	401	223	390	-1
464	15911.001	269.67798	59	1385	197	391	-1
465	1167	89.769234	13	978	186.5	392	-1
466	2047	93.045456	22	978.5	216	392	-1
467	11831	203.98276	58	994	218	392	-1
468	17715	253.07143	70	1013.5	227	392	-1
469	1373	76.277779	18	1224	220	393	-1
470	4571	81.625	56	74	215	394	-1
471	2508	71.657143	35	76	226	394	-1
472	615	55.909092	11	48.5	229	394	-1
473	7861.0005	170.89131	46	1479.5	232	396	-1
474	8731	155.91072	56	1464	241	396	-1
475	21989	222.11111	99	1503	248	396	-1
476	1812	69.692307	26	1466.5	249	396	-1
477	779	77.900002	10	1497	257	396	-1
478	2860	92.258064	31	525	259.5	398	-1
479	2387	79.566666	30	110	268	399	-1
480	2530	110	23	1538	292.5	401	-1
481	8408	161.69231	52	1499.5	315.5	401	-1
482	2329	129.38889	18	294	294	403	-1
483	688	57.333332	12	263	302.5	403	-1
