Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Parent Object ID (MO)	Parent Trace ID
0	4000	160	25	0	-1
1	1751	159.18182	11	1	-1
2	1907	158.91667	12	2	-1
3	2822	201.57143	14	2	-1
4	1857	154.75	12	7	-1
5	1707	155.18182	11	7	-1
6	3455	181.8421	19	8	-1
7	2855	178.4375	16	11	-1
8	6130	197.74193	31	11	-1
9	13742	190.86111	72	11	-1
10	11643	204.26315	57	11	-1
11	3537	208.05882	17	11	-1
12	1855	185.5	10	11	-1
13	1743	174.3	10	12	-1
14	6860	155.90909	44	12	-1
15	7478	155.79167	48	13	-1
16	2442	152.625	16	13	-1
17	4520	155.86208	29	13	-1
18	16807	236.71831	71	15	-1
19	41220	305.33334	135	15	-1
20	35470	412.44186	86	15	-1
21	2981	212.92857	14	15	-1
22	1642	164.2	10	17	-1
23	5254	169.48387	31	24	-1
24	2841	157.83333	18	25	-1
25	12505	173.68056	72	25	-1
26	15250.999	160.53683	95	25	-1
27	3946	164.41667	24	25	-1
28	20985	166.54762	126	26	-1
29	109158	682.23749	160	30	-1
30	2670	166.875	16	30	-1
31	1942	176.54546	11	30	-1
32	8039.0005	277.20691	29	32	-1
33	11265	341.36365	33	36	-1
34	56325	552.20587	102	36	-1
35	2942	154.8421	19	43	-1
36	2331	155.39999	15	43	-1
37	8566	158.62962	54	44	-1
38	1902	158.5	12	44	-1
39	8601	318.55554	27	47	-1
40	10092	174	58	47	-1
41	32436	277.23077	117	47	-1
42	12380	193.4375	64	47	-1
43	6107	179.61765	34	47	-1
44	3936	231.52942	17	47	-1
45	39063	438.91013	89	51	-1
46	59188	455.2923	130	55	-1
47	6235	230.92592	27	57	-1
48	33953	181.56685	187	61	-1
49	19371	166.99138	116	63	-1
50	14617.001	166.10228	88	64	-1
51	10713	159.89552	67	67	-1
52	49181	558.875	88	72	-1
53	4741	249.52632	19	72	-1
54	19461	432.46667	45	72	-1
55	5694	183.67741	31	75	-1
56	14622	160.68132	91	76	-1
57	9243	156.66101	59	79	-1
58	6251	156.27499	40	79	-1
59	26458	440.96667	60	79	-1
60	3800	165.21739	23	79	-1
61	4087	163.48	25	86	-1
62	11449	212.01852	54	86	-1
63	4205	262.8125	16	87	-1
64	44246	280.03796	158	87	-1
65	3407	200.41176	17	87	-1
66	5995	222.03703	27	87	-1
67	3042	190.125	16	87	-1
68	3375	168.75	20	88	-1
69	2783	154.61111	18	91	-1
70	10106	183.74545	55	94	-1
71	4658	160.6207	29	106	-1
72	4569	157.55173	29	106	-1
73	6492	180.33333	36	106	-1
74	7273	250.79311	29	107	-1
75	112540.99	628.72064	179	107	-1
76	74154	449.41818	165	108	-1
77	3162	166.42105	19	109	-1
78	1817	181.7	10	111	-1
79	16361.999	165.27272	99	111	-1
80	2558	182.71428	14	111	-1
81	2006	154.30769	13	114	-1
82	21081	162.16154	130	115	-1
83	23011	230.11	100	117	-1
84	6615	161.34146	41	117	-1
85	6609.0005	161.19513	41	117	-1
86	10582	211.64	50	118	-1
87	1691	169.10001	10	118	-1
88	2044	170.33333	12	118	-1
89	3083	192.6875	16	119	-1
90	11038	159.97101	69	119	-1
91	5496	157.02856	35	119	-1
92	85280	613.52521	139	122	-1
93	4070.0002	156.53847	26	126	-1
94	96186	572.53571	168	129	-1
95	1782	162	11	132	-1
96	1823.0001	165.72728	11	132	-1
97	6283	190.39394	33	133	-1
98	3269	172.05263	19	134	-1
99	4842	201.75	24	134	-1
100	1619	161.89999	10	134	-1
101	5825	187.90323	31	134	-1
102	31547	250.37302	126	135	-1
103	1755	175.5	10	136	-1
104	3924.0002	156.96001	25	136	-1
105	77355	678.55261	114	136	-1
106	1802	163.81818	11	141	-1
107	6543.0005	176.83784	37	142	-1
108	12838	186.05797	69	142	-1
109	2642	220.16667	12	142	-1
110	1587	158.7	10	142	-1
111	3107	207.13333	15	142	-1
112	24291	179.93333	135	143	-1
113	2590	172.66667	15	144	-1
114	8494	154.43637	55	151	-1
115	4831	150.96875	32	151	-1
116	8467	176.39583	48	152	-1
117	100890	551.31146	183	153	-1
118	85553	807.10376	106	154	-1
119	33980	179.78836	189	161	-1
120	7655	162.87234	47	166	-1
121	20699	160.45737	129	166	-1
122	23538	228.52428	103	167	-1
123	8340	170.20409	49	167	-1
124	19223	320.38333	60	168	-1
125	7828	182.04651	43	169	-1
126	12163	187.12308	65	169	-1
127	21016	173.68594	121	171	-1
128	14149	172.54878	82	173	-1
129	22871	171.9624	133	173	-1
130	2589	161.8125	16	175	-1
131	30929	207.57718	149	175	-1
132	4249	202.33333	21	176	-1
133	20802	177.79488	117	176	-1
134	2104	175.33333	12	176	-1
135	2443	187.92308	13	178	-1
136	31956.002	264.09918	121	179	-1
137	2026	168.83333	12	180	-1
138	3701.0002	168.22728	22	181	-1
139	64999	503.86823	129	182	-1
140	2063	158.69231	13	183	-1
141	1819	165.36363	11	183	-1
142	5594	159.82857	35	186	-1
143	4352	161.18518	27	186	-1
144	1710	155.45454	11	186	-1
145	4663	166.53572	28	186	-1
146	16588	161.04854	103	188	-1
147	10035	156.79688	64	191	-1
148	2677	157.47058	17	194	-1
149	5885	163.47223	36	194	-1
150	2778	231.5	12	195	-1
151	1890	189	10	196	-1
152	2820	216.92308	13	196	-1
153	2262	188.5	12	196	-1
154	56608	602.21277	94	199	-1
155	8140.0005	156.53847	52	201	-1
156	3335	158.80952	21	202	-1
157	4245	212.25	20	203	-1
158	1872.9999	170.27272	11	203	-1
159	3523	195.72223	18	203	-1
160	1711	155.54546	11	204	-1
161	2850	158.33333	18	204	-1
162	1578	157.8	10	204	-1
163	3587	170.80952	21	205	-1
164	3453	181.73685	19	206	-1
165	5564	231.83333	24	206	-1
166	1817	181.7	10	207	-1
167	1932	193.2	10	207	-1
168	78039	634.46344	123	207	-1
169	1916.9999	174.27272	11	207	-1
170	4359	167.65384	26	207	-1
171	2941	245.08333	12	207	-1
172	24647	171.15973	144	210	-1
173	2150	153.57143	14	210	-1
174	3510	159.54546	22	210	-1
175	1532	153.2	10	210	-1
176	2854	158.55556	18	210	-1
177	2265	161.78572	14	210	-1
178	14552	202.11111	72	215	-1
179	11439	187.5246	61	215	-1
180	1935	161.25	12	218	-1
181	23899	219.25688	109	218	-1
182	3131	173.94444	18	218	-1
183	19436	192.43564	101	218	-1
184	5297	182.65517	29	218	-1
185	22366	201.4955	111	218	-1
186	13347	190.67143	70	218	-1
187	2186	198.72728	11	220	-1
